dataset,fold,seed,model,test_acc,epochs_to_80_val,stopped_epoch,best_val_acc,spike_sparsity,params
DoOR,0,7,ConnectomeSNN,0.46560251798561153,-1,34,0.46717625899280574,0.8095432217172587,1235892
DoOR,0,7,ShuffledSNN,0.45616007194244607,-1,26,0.4660521582733813,0.8111229217309746,1235892
DoOR,0,7,SparseMLP,0.4831384892086331,-1,14,0.4914568345323741,0.0,1237492
DoOR,0,7,DenseMLP,0.5002248201438849,-1,12,0.4993255395683453,0.0,1235147
DoOR,1,7,ConnectomeSNN,0.44761690647482016,-1,26,0.45301258992805754,0.7964092844681779,1235892
DoOR,1,7,ShuffledSNN,0.44199640287769787,-1,18,0.44469424460431656,0.7869145134370108,1235892
DoOR,1,7,SparseMLP,0.47594424460431656,-1,18,0.4761690647482014,0.0,1237492
DoOR,1,7,DenseMLP,0.48718525179856115,-1,16,0.4885341726618705,0.0,1235147
DoOR,2,7,ConnectomeSNN,0.4635791366906475,-1,28,0.46425359712230213,0.7985779001558426,1235892
DoOR,2,7,ShuffledSNN,0.45076438848920863,-1,20,0.45481115107913667,0.793176485651689,1235892
DoOR,2,7,SparseMLP,0.4858363309352518,-1,19,0.4880845323741007,0.0,1237492
DoOR,2,7,DenseMLP,0.4847122302158273,-1,11,0.49303057553956836,0.0,1235147
DoOR,3,7,ConnectomeSNN,0.4590827338129496,-1,41,0.4662769784172662,0.8072383662779552,1235892
DoOR,3,7,ShuffledSNN,0.45481115107913667,-1,30,0.458408273381295,0.8087948507542231,1235892
DoOR,3,7,SparseMLP,0.48606115107913667,-1,17,0.48830935251798563,0.0,1237492
DoOR,3,7,DenseMLP,0.4925809352517986,-1,16,0.49595323741007197,0.0,1235147
DoOR,4,7,ConnectomeSNN,0.45481115107913667,-1,19,0.45863309352517984,0.8029217059663732,1235892
DoOR,4,7,ShuffledSNN,0.45593525179856115,-1,24,0.45818345323741005,0.8056532153122716,1235892
DoOR,4,7,SparseMLP,0.479091726618705,-1,11,0.4835881294964029,0.0,1237492
DoOR,4,7,DenseMLP,0.4941546762589928,-1,14,0.49527877697841727,0.0,1235147
DoOR,0,1010,ConnectomeSNN,0.4739208633093525,-1,34,0.47931654676258995,0.8059580712009677,1235892
DoOR,0,1010,ShuffledSNN,0.4799910071942446,-1,37,0.48089028776978415,0.807569188437016,1235892
DoOR,0,1010,SparseMLP,0.5013489208633094,-1,13,0.502248201438849,0.0,1237492
DoOR,0,1010,DenseMLP,0.5116906474820144,-1,12,0.5087679856115108,0.0,1235147
DoOR,1,1010,ConnectomeSNN,0.44064748201438847,-1,26,0.4464928057553957,0.8013684801918141,1235892
DoOR,1,1010,ShuffledSNN,0.4357014388489209,-1,21,0.4404226618705036,0.7995282710884971,1235892
DoOR,1,1010,SparseMLP,0.4626798561151079,-1,19,0.47324640287769787,0.0,1237492
DoOR,1,1010,DenseMLP,0.47594424460431656,-1,12,0.479091726618705,0.0,1235147
DoOR,2,1010,ConnectomeSNN,0.44739208633093525,-1,16,0.4523381294964029,0.7990709869124049,1235892
DoOR,2,1010,ShuffledSNN,0.4602068345323741,-1,22,0.45638489208633093,0.8050403555520148,1235892
DoOR,2,1010,SparseMLP,0.4858363309352518,-1,13,0.489658273381295,0.0,1237492
DoOR,2,1010,DenseMLP,0.49010791366906475,-1,19,0.49842625899280574,0.0,1235147
DoOR,3,1010,ConnectomeSNN,0.4629046762589928,-1,35,0.47009892086330934,0.806357351824534,1235892
DoOR,3,1010,ShuffledSNN,0.45481115107913667,-1,16,0.45616007194244607,0.8020957740948355,1235892
DoOR,3,1010,SparseMLP,0.48651079136690645,-1,14,0.48988309352517984,0.0,1237492
DoOR,3,1010,DenseMLP,0.48785971223021585,-1,13,0.49460431654676257,0.0,1235147
DoOR,4,1010,ConnectomeSNN,0.44244604316546765,-1,21,0.44761690647482016,0.8034019784104053,1235892
DoOR,4,1010,ShuffledSNN,0.45323741007194246,-1,42,0.4516636690647482,0.8157407829229781,1235892
DoOR,4,1010,SparseMLP,0.47189748201438847,-1,16,0.47639388489208634,0.0,1237492
DoOR,4,1010,DenseMLP,0.48830935251798563,-1,16,0.48988309352517984,0.0,1235147
